ensembl_id,gene_symbol,ncbi_id
ENSG00000253787,LINC02219,NCBI:102467655
ENSG00000132541,RIDA,NCBI:10247
ENSG00000172336,POP7,NCBI:10248
ENSG00000149124,GLYAT,NCBI:10249
ENSG00000136807,CDK9,NCBI:1025
ENSG00000133226,SRRM1,NCBI:10250
ENSMUSG00000049493,Pls1,NCBI:102502
Unknown,DUP22Q13,NCBI:102503428
ENSG00000248673,LINC01335,NCBI:102503429
ENSG00000168939,SPRY3,NCBI:10251
ENSG00000164056,SPRY1,NCBI:10252
ENSG00000251450,RASGRF2-AS1,NCBI:102524628
ENSG00000136158,SPRY2,NCBI:10253
ENSG00000115145,STAM2,NCBI:10254
ENSMUSG00000032436,Cmtm7,NCBI:102545
Unknown,LINC01338,NCBI:102546175
ENSG00000250156,LINC02060,NCBI:102546226
ENSG00000250331,LINC01340,NCBI:102546227
ENSG00000248107,LINC02039,NCBI:102546228
ENSG00000250564,LINC02999,NCBI:102546229
ENSG00000247199,FBXO38-DT,NCBI:102546294
ENSG00000254333,NDST1-AS1,NCBI:102546298
ENSG00000204625,HCG9,NCBI:10255
ENSG00000254130,LINC01947,NCBI:102557615
ENSG00000142675,CNKSR1,NCBI:10256
ENSMUSG00000037949,Ano10,NCBI:102566
ENSG00000125257,ABCC4,NCBI:10257
ENSMUSG00000074028,Slc22a13,NCBI:102570
ENSG00000248859,LINC01574,NCBI:102577424
ENSG00000248473,LINC01962,NCBI:102577426
AT5G23880,Esp5,NCBI:102577427
ENSMUSG00000117190,Gm44501,NCBI:102577428
ENSG00000280719,PCAT5,NCBI:102578074
ENSMUSG00000032059,Alg9,NCBI:102580
ENSMUSG00000050721,Plekho2,NCBI:102595
ENSG00000124762,CDKN1A,NCBI:1026
ENSG00000174485,DENND4A,NCBI:10260
ENSG00000256124,LINC01152,NCBI:102606463
ENSG00000233184,DPH5-DT,NCBI:102606465
ENSMUSG00000031993,Snx19,NCBI:102607
ENSG00000140749,IGSF6,NCBI:10261
ENSMUSG00000062309,Rpp25,NCBI:102614
ENSG00000143368,SF3B4,NCBI:10262
ENSMUSG00000032577,Mapkapk3,NCBI:102626
ENSG00000167797,CDK2AP2,NCBI:10263
LOC116802103,Gm11528,NCBI:102631496
LOC6618096,Gm13307,NCBI:102631509
ENSMUSG00000087452,Gm11998,NCBI:102631513
ENSMUSG00000087565,Gm14662,NCBI:102631518
LOC6609560,Gm21762,NCBI:102631530
LOC6615504,Gm15651,NCBI:102631543
ENSMUSG00000102668,Gm29866,NCBI:102631559
LOC6611990,Gm11685,NCBI:102631572
MGP_PahariEiJ_G0002250,Gm16068,NCBI:102631588
ENSMSPG00010026605,Gm15230,NCBI:102631592
ENSMUSG00000136036,Gm29906,NCBI:102631609
ENSMUSG00000111866,E130101E03Rik,NCBI:102631612
ENSMUSG00000086114,Gm14642,NCBI:102631616
ENSMUSG00000094715,Gm17078,NCBI:102631639
ENSMUSG00000085623,Gm16041,NCBI:102631647
ENSMUSG00000085358,Gm14437,NCBI:102631658
ENSMUSG00000139614,1700040K01Rik,NCBI:102631675
Unknown,Gm6360,NCBI:102631676
ENSMUSG00000138780,2810048H02Rik,NCBI:102631679
ENSMUSG00000087139,Gm11683,NCBI:102631682
LOC6610791,Gm14664,NCBI:102631697
